item1,item2,n,correlation
pâte,délicieux,178,0.19642414310938705
dessert,NA,178,0.21068472872569452
remplacer,NA,178,0.2216001675841657
NA,dessert,178,0.21068472872569452
résultat,mettre,178,0.29707667722460934
sucre,sucrer,178,0.3507904030977314
sucrer,sucre,178,0.3507904030977314
délicieux,pâte,178,0.19642414310938705
mettre,résultat,178,0.29707667722460934
NA,remplacer,178,0.2216001675841657
monde,délicieux,177,0.26046526643148527
réaliser,faire,177,0.26823177948104415
suivi,NA,177,0.2939053626811913
moelleux,NA,177,0.20142821446161702
délicieux,monde,177,0.26046526643148527
simple,facile,177,0.3240524872983652
faire,réaliser,177,0.26823177948104415
facile,simple,177,0.3240524872983652
NA,suivi,177,0.2939053626811913
chocolat,sucre,177,0.1248662013615793
NA,moelleux,177,0.20142821446161702
sucre,chocolat,177,0.1248662013615793
délice,délicieux,176,0.3181182497653899
cuisson,super,176,0.12533918289841411
essayer,recette,176,0.31154963610978204
recette,essayer,176,0.31154963610978204
super,cuisson,176,0.12533918289841411
délicieux,délice,176,0.3181182497653899
excellent,délicieux,175,0.19361179806539325
résultat,faire,175,0.22704381387477698
refaire,monde,175,0.2850507826921676
monde,refaire,175,0.2850507826921676
vrai,refaire,175,0.3016665199776064
léger,recette,175,0.1686343339968111
sucrer,mettre,175,0.2212075585501768
mettre,sucrer,175,0.2212075585501768
délicieux,excellent,175,0.19361179806539325
recette,léger,175,0.1686343339968111
refaire,vrai,175,0.3016665199776064
faire,résultat,175,0.22704381387477698
simple,petit,174,0.2661432507802887
exceller,monde,174,0.27212984591903877
monde,exceller,174,0.27212984591903877
petit,simple,174,0.2661432507802887
beurre,délicieux,173,0.24990119689829365
sucrer,faire,173,0.20173489961107666
léger,NA,173,0.20909711660956054
rapide,facile,173,0.49580282896250966
faire,sucrer,173,0.20173489961107666
NA,léger,173,0.20909711660956054
cuisson,ajouter,173,0.271686706859418
ajouter,cuisson,173,0.271686706859418
facile,rapide,173,0.49580282896250966
délicieux,beurre,173,0.24990119689829365
mettre,quantité,172,0.27046535435243296
rajouter,NA,172,0.22243208646413568
